epoch,auc,bin_acc,learning_rate,loss,val_auc,val_bin_acc,val_loss
0,0.8987684845924377,0.9840177297592163,0.0010000000474974513,0.07027175277471542,0.927243173122406,0.9896931648254395,0.04889595881104469
1,0.9233426451683044,0.9884554743766785,0.0010000000474974513,0.05286579206585884,0.9307568073272705,0.990115761756897,0.04713871330022812
2,0.9284533262252808,0.9892194867134094,0.0010000000474974513,0.04961888864636421,0.9342113733291626,0.9906801581382751,0.044248513877391815
3,0.9324520230293274,0.9896330237388611,0.0010000000474974513,0.04753672331571579,0.9356127381324768,0.990612268447876,0.0440593883395195
4,0.9345864057540894,0.9899927377700806,0.0010000000474974513,0.046108003705739975,0.9336932897567749,0.9907034635543823,0.043485622853040695
5,0.936984121799469,0.9901842474937439,0.0010000000474974513,0.04496868699789047,0.9295823574066162,0.9898122549057007,0.04804510623216629
6,0.938822329044342,0.9903913140296936,0.0010000000474974513,0.044195350259542465,0.9344028234481812,0.9904198050498962,0.044688209891319275
7,0.9405137896537781,0.9905188679695129,0.0010000000474974513,0.04350116103887558,0.9335975050926208,0.99058997631073,0.044213224202394485
8,0.9417919516563416,0.9906635880470276,0.0010000000474974513,0.04292302951216698,0.9316468834877014,0.9904133081436157,0.04516378417611122
9,0.9433031678199768,0.9907636046409607,0.0010000000474974513,0.0422484427690506,0.9333114624023438,0.9904268980026245,0.045731689780950546
10,0.9467079043388367,0.9911552667617798,0.0005000000237487257,0.040545541793107986,0.9339740872383118,0.9910234808921814,0.04342323914170265
11,0.9484185576438904,0.9912760257720947,0.0005000000237487257,0.0399213470518589,0.9318218231201172,0.9904819130897522,0.046168938279151917
12,0.9490060210227966,0.9913406372070312,0.0005000000237487257,0.039701320230960846,0.9315271377563477,0.9904264807701111,0.046134646981954575
13,0.9497261047363281,0.9913575053215027,0.0005000000237487257,0.03950037807226181,0.9327017664909363,0.9906989336013794,0.045025330036878586
14,0.9501998424530029,0.9913830757141113,0.0005000000237487257,0.039185598492622375,0.9332646131515503,0.9909532070159912,0.044322818517684937
15,0.9523758292198181,0.9915867447853088,0.0002500000118743628,0.03837119787931442,0.9333558678627014,0.9905791878700256,0.04522189497947693
16,0.9532250761985779,0.9916890859603882,0.0002500000118743628,0.03785599395632744,0.933201253414154,0.9908733367919922,0.04462241008877754
17,0.9530823826789856,0.9916550517082214,0.0002500000118743628,0.03799566626548767,0.930420458316803,0.9903212785720825,0.04730094224214554
18,0.9532555937767029,0.9916775822639465,0.0002500000118743628,0.03784660995006561,0.9282332062721252,0.9896503686904907,0.048938948661088943
19,0.9536734223365784,0.9916796088218689,0.0002500000118743628,0.03776121512055397,0.9314841032028198,0.9907301068305969,0.04564293473958969
20,0.9548953771591187,0.9917665719985962,0.0001250000059371814,0.037210967391729355,0.9294286966323853,0.9901005029678345,0.04774079844355583
