epoch,auc,bin_acc,learning_rate,loss,val_auc,val_bin_acc,val_loss
0,0.9118431806564331,0.9819269776344299,0.0010000000474974513,0.07548274099826813,0.9426736235618591,0.9894700050354004,0.04895208030939102
1,0.9365600347518921,0.9876729846000671,0.0010000000474974513,0.05417845398187637,0.945492684841156,0.9896660447120667,0.04704778268933296
2,0.9427233934402466,0.988633930683136,0.0010000000474974513,0.04991181567311287,0.9458006024360657,0.9898316860198975,0.04650789126753807
3,0.9459930062294006,0.9892152547836304,0.0010000000474974513,0.04742008447647095,0.9458825588226318,0.9898328185081482,0.046779993921518326
4,0.9486831426620483,0.989575207233429,0.0010000000474974513,0.04575391113758087,0.9455932974815369,0.9899019598960876,0.04662800952792168
5,0.9514115452766418,0.9899448752403259,0.0010000000474974513,0.04426845163106918,0.945790708065033,0.9905179142951965,0.04513206332921982
6,0.95318204164505,0.9901587963104248,0.0010000000474974513,0.04330219328403473,0.9457009434700012,0.9902796149253845,0.04494353383779526
7,0.954958975315094,0.990348219871521,0.0010000000474974513,0.04235934466123581,0.943527340888977,0.9895802736282349,0.04848918318748474
8,0.956768274307251,0.9904634952545166,0.0010000000474974513,0.041586734354496,0.9462263584136963,0.9902408123016357,0.04523376747965813
9,0.9581444263458252,0.9906233549118042,0.0010000000474974513,0.04090140759944916,0.9402812123298645,0.9888103008270264,0.051704976707696915
10,0.9592180848121643,0.990739107131958,0.0010000000474974513,0.040342457592487335,0.9448700547218323,0.9901031255722046,0.04637706279754639
11,0.9603731036186218,0.9908348321914673,0.0010000000474974513,0.0398104228079319,0.9418256282806396,0.9893667697906494,0.05040424317121506
12,0.9639877676963806,0.9912880063056946,0.0005000000237487257,0.037709008902311325,0.9406347274780273,0.9891201257705688,0.05010376498103142
13,0.9652711153030396,0.9914132356643677,0.0005000000237487257,0.03707343712449074,0.9437037706375122,0.9903932809829712,0.04609735310077667
14,0.9660491943359375,0.991424024105072,0.0005000000237487257,0.03678441047668457,0.9398370385169983,0.9897885322570801,0.04955558106303215
15,0.9669657349586487,0.9914870858192444,0.0005000000237487257,0.036432478576898575,0.9404913187026978,0.9899661540985107,0.04905238747596741
16,0.9675464630126953,0.9914956092834473,0.0005000000237487257,0.03629481419920921,0.9383332133293152,0.9894214868545532,0.05170599743723869
