Rank,Feature,Importance
161,wout_gyro_2_delta,0.002072
162,Vout_ss_2_skew_5,0.002054
163,Vout_ss_6_std_5,0.002045
164,wout_gyro_1_kurt_5,0.001978
165,wout_gyro_3_kurt_5,0.001961
166,Vout_ss_6_accel,0.001945
167,Vout_ss_5_skew_5,0.001938
168,Vout_ss_1_kurt_5,0.001926
169,Vout_ss_3_delta,0.001863
170,Vout_ss_6_skew_5,0.001832
171,Bout_magn_1_kurt_5,0.001822
172,Vout_ss_5_delta,0.001790
173,Vout_ss_4_delta,0.001774
174,Bout_magn_2_kurt_5,0.001754
175,Bout_magn_3_kurt_5,0.001633
176,Bout_magn_2_skew_5,0.001631
177,mout_mtq_1_skew_5,0.001631
178,Bout_magn_1_skew_5,0.001620
179,Vout_ss_5_accel,0.001598
180,Vout_ss_1_delta,0.001553
181,Vout_ss_4_accel,0.001492
182,Vout_ss_4_skew_5,0.001489
183,Bout_magn_3_skew_5,0.001421
184,Vout_ss_3_skew_5,0.001363
185,Vout_ss_1_accel,0.001358
186,Vout_ss_1_skew_5,0.001358
187,Vout_ss_2_delta,0.001295
188,Vout_ss_3_accel,0.001228
189,Vout_ss_2_accel,0.001218
190,Vout_ss_4_std_5,0.001047
191,mout_mtq_3_skew_5,0.000957
192,mout_mtq_2_skew_5,0.000715
193,Vout_ss_5_std_5,0.000692
194,mout_mtq_3_accel,0.000654
195,mout_mtq_1_accel,0.000225
