Rank,Feature,Importance
1,mout_mtq_3_var_5,0.051442
2,mout_mtq_2_var_5,0.043292
3,mout_mtq_1_var_5,0.042714
4,mout_mtq_1_delta,0.025011
5,mout_mtq_1_min_5,0.024321
6,Vout_ss_5_median_5,0.023040
7,mout_mtq_2_delta,0.022911
8,mout_mtq_3,0.022756
9,Vout_ss_5_var_5,0.021429
10,Bout_magn_1_var_5,0.020233
11,mout_mtq_2,0.019855
12,Bout_magn_2_var_5,0.019531
13,mout_mtq_1,0.018777
14,Vout_ss_2_var_5,0.018347
15,Vout_ss_1_var_5,0.018344
16,Vout_ss_3_var_5,0.018301
17,Bout_magn_3_var_5,0.018083
18,Vout_ss_6_var_5,0.018069
19,Vout_ss_4_var_5,0.015334
20,Vout_ss_6,0.015223
21,mout_mtq_3_min_5,0.013625
22,Vout_ss_1,0.013159
23,Vout_ss_2_mean_5,0.012399
24,Vout_ss_5_max_5,0.012363
25,Vout_ss_5,0.010979
26,Vout_ss_1_min_5,0.010440
27,Vout_ss_3,0.010417
28,mout_mtq_3_median_5,0.010209
29,mout_mtq_2_min_5,0.010170
30,Vout_ss_2,0.009530
31,Vout_ss_5_min_5,0.009499
32,Vout_ss_2_max_5,0.009265
33,Vout_ss_6_min_5,0.009219
34,wout_gyro_3_var_5,0.008643
35,wout_gyro_1_var_5,0.008449
36,Vout_ss_6_delta,0.008246
37,Vout_ss_3_delta,0.008155
38,Vout_ss_3_min_5,0.008145
39,Vout_ss_1_delta,0.008145
40,Vout_ss_4,0.007969
41,Vout_ss_5_delta,0.007946
42,wout_gyro_3_delta,0.007879
43,mout_mtq_3_delta,0.007612
44,Vout_ss_3_max_5,0.007588
45,wout_gyro_2_var_5,0.007582
46,Vout_ss_6_max_5,0.007426
47,Vout_ss_2_delta,0.007113
48,mout_mtq_2_mean_5,0.006962
49,mout_mtq_1_median_5,0.006702
50,Vout_ss_4_delta,0.006601
51,wout_gyro_1_delta,0.006467
52,wout_gyro_2,0.006359
53,mout_mtq_2_max_5,0.006217
54,wout_gyro_3,0.006172
55,Vout_ss_6_mean_5,0.005927
56,Vout_ss_2_median_5,0.005915
57,wout_gyro_2_delta,0.005643
58,Vout_ss_4_max_5,0.005618
59,Vout_ss_1_max_5,0.005475
60,Bout_magn_1_delta,0.005439
61,Bout_magn_2_delta,0.005419
62,mout_mtq_1_max_5,0.005227
63,wout_gyro_3_median_5,0.005222
64,wout_gyro_2_max_5,0.005187
65,Vout_ss_2_min_5,0.005160
66,Bout_magn_1_median_5,0.005155
67,wout_gyro_2_min_5,0.005150
68,mout_mtq_3_mean_5,0.005114
69,Vout_ss_1_mean_5,0.005082
70,mout_mtq_1_mean_5,0.004992
71,Bout_magn_3_delta,0.004872
72,Vout_ss_4_min_5,0.004857
73,Bout_magn_2_median_5,0.004849
74,wout_gyro_1,0.004840
75,Bout_magn_1_max_5,0.004825
76,Bout_magn_3_median_5,0.004677
77,Bout_magn_2_min_5,0.004627
78,Vout_ss_4_mean_5,0.004514
79,Vout_ss_4_median_5,0.004463
80,wout_gyro_3_mean_5,0.004325
81,Vout_ss_5_mean_5,0.004303
82,Bout_magn_2_max_5,0.004255
83,Bout_magn_3_min_5,0.004229
84,Vout_ss_3_mean_5,0.004180
85,wout_gyro_1_min_5,0.004119
86,wout_gyro_3_max_5,0.004106
87,mout_mtq_3_max_5,0.004076
88,Bout_magn_3_max_5,0.004053
89,wout_gyro_2_median_5,0.003985
90,Bout_magn_1_min_5,0.003861
91,Bout_magn_1_mean_5,0.003831
92,Vout_ss_3_median_5,0.003754
93,wout_gyro_1_median_5,0.003720
94,Vout_ss_6_median_5,0.003682
95,mout_mtq_2_median_5,0.003644
96,wout_gyro_2_mean_5,0.003623
97,Vout_ss_1_median_5,0.003524
98,Bout_magn_3,0.003446
99,wout_gyro_1_mean_5,0.003305
100,Bout_magn_2,0.003281
101,Bout_magn_1,0.003237
102,Bout_magn_2_mean_5,0.003234
103,wout_gyro_3_min_5,0.003202
104,wout_gyro_1_max_5,0.003200
105,Bout_magn_3_mean_5,0.002907
