Rank,Feature,Importance
1,Vout_ss_4_range_15,0.012135
2,Vout_ss_3_std_15,0.011778
3,Vout_ss_4_var_15,0.010809
4,Vout_ss_3,0.010027
5,Vout_ss_1,0.009704
6,Bout_magn_2_var_15,0.009582
7,Bout_magn_3_std_15,0.009339
8,Vout_ss_2_var_15,0.009154
9,Bout_magn_2_std_15,0.009109
10,Bout_magn_3_var_15,0.009099
11,Bout_magn_1_std_15,0.009083
12,Vout_ss_5_dev_15,0.009064
13,Vout_ss_2,0.008883
14,mout_mtq_2_range_15,0.008873
15,Vout_ss_5_range_15,0.008793
16,wout_gyro_2_std_15,0.008769
17,Vout_ss_2_std_15,0.008694
18,Vout_ss_1_range_15,0.008376
19,Vout_ss_3_mean_15,0.008290
20,Vout_ss_6_max_15,0.008283
21,wout_gyro_1_std_15,0.008259
22,Vout_ss_4_std_15,0.008215
23,wout_gyro_2_range_15,0.008183
24,wout_gyro_3_std_15,0.008171
25,wout_gyro_3_var_15,0.008162
26,mout_mtq_2_dev_15,0.008142
27,Vout_ss_6_range_15,0.008066
28,Vout_ss_2_max_15,0.008024
29,wout_gyro_1_var_15,0.007897
30,Vout_ss_6_dev_15,0.007859
31,Bout_magn_3_range_15,0.007625
32,wout_gyro_2_var_15,0.007622
33,Vout_ss_6_mean_15,0.007618
34,Vout_ss_5_var_15,0.007608
35,Vout_ss_1_max_15,0.007595
36,Vout_ss_5,0.007497
37,Vout_ss_1_var_15,0.007399
38,Vout_ss_3_var_15,0.007395
39,Vout_ss_5_std_15,0.007379
40,mout_mtq_3_dev_15,0.007363
41,mout_mtq_2_std_15,0.007323
42,Bout_magn_2_range_15,0.007287
43,Vout_ss_6_std_15,0.007273
44,mout_mtq_3_std_15,0.007144
45,Vout_ss_2_range_15,0.007047
46,Bout_magn_1_var_15,0.006993
47,Bout_magn_2_dev_15,0.006880
48,Vout_ss_5_mean_15,0.006877
49,Bout_magn_1_kurt_15,0.006790
50,mout_mtq_1,0.006747
51,wout_gyro_1_skew_15,0.006728
52,Vout_ss_4,0.006712
53,wout_gyro_3_range_15,0.006664
54,Vout_ss_6_var_15,0.006609
55,mout_mtq_1_range_15,0.006484
56,wout_gyro_1_range_15,0.006478
57,Vout_ss_1_std_15,0.006392
58,Bout_magn_1_range_15,0.006303
59,mout_mtq_3_range_15,0.006215
60,Vout_ss_4_dev_15,0.006182
61,Vout_ss_2_mean_15,0.006179
62,Vout_ss_1_mean_15,0.006147
63,Bout_magn_3_dev_15,0.006100
64,wout_gyro_3_skew_15,0.006064
65,mout_mtq_1_mean_15,0.006050
66,mout_mtq_3_mean_15,0.006043
67,Bout_magn_1_skew_15,0.005966
68,mout_mtq_1_std_15,0.005954
69,mout_mtq_1_max_15,0.005905
70,Vout_ss_3_range_15,0.005886
71,Bout_magn_1_dev_15,0.005773
72,Vout_ss_1_kurt_15,0.005690
73,Bout_magn_2_kurt_15,0.005687
74,Vout_ss_2_dev_15,0.005685
75,Bout_magn_3_skew_15,0.005667
76,mout_mtq_2_var_15,0.005595
77,mout_mtq_3_var_15,0.005572
78,wout_gyro_2_min_15,0.005545
79,Vout_ss_3_dev_15,0.005476
80,wout_gyro_2_max_15,0.005456
81,wout_gyro_3,0.005430
82,mout_mtq_1_var_15,0.005429
83,wout_gyro_2_mean_15,0.005422
84,wout_gyro_2_skew_15,0.005374
85,wout_gyro_3_dev_15,0.005301
86,mout_mtq_3_kurt_15,0.005263
87,Bout_magn_3_kurt_15,0.005255
88,Vout_ss_1_dev_15,0.005240
89,mout_mtq_3_max_15,0.005217
90,wout_gyro_2_dev_15,0.005179
91,wout_gyro_2,0.005176
92,Vout_ss_5_max_15,0.005124
93,wout_gyro_1,0.005104
94,wout_gyro_3_min_15,0.005101
95,mout_mtq_1_dev_15,0.005093
96,Vout_ss_6,0.005087
97,Bout_magn_3_min_15,0.005050
98,Bout_magn_3_mean_15,0.005042
99,Vout_ss_4_mean_15,0.005026
100,mout_mtq_3,0.004994
101,mout_mtq_2,0.004957
102,wout_gyro_3_max_15,0.004954
103,wout_gyro_1_dev_15,0.004853
104,mout_mtq_2_max_15,0.004806
105,Bout_magn_3,0.004802
106,wout_gyro_1_min_15,0.004795
107,wout_gyro_3_mean_15,0.004752
108,Bout_magn_1,0.004684
109,wout_gyro_3_median_15,0.004683
110,Bout_magn_2_mean_15,0.004638
111,wout_gyro_1_max_15,0.004626
112,Bout_magn_2_min_15,0.004595
113,Bout_magn_1_min_15,0.004552
114,wout_gyro_1_mean_15,0.004547
115,wout_gyro_1_median_15,0.004506
116,wout_gyro_2_median_15,0.004493
117,Bout_magn_2_skew_15,0.004452
118,wout_gyro_1_kurt_15,0.004437
119,Vout_ss_6_kurt_15,0.004339
120,wout_gyro_2_kurt_15,0.004296
121,Bout_magn_3_max_15,0.004264
122,Vout_ss_4_max_15,0.004242
123,mout_mtq_2_mean_15,0.004232
124,Bout_magn_3_median_15,0.004206
125,Bout_magn_1_mean_15,0.004205
126,Bout_magn_1_median_15,0.004185
127,Bout_magn_2_median_15,0.004142
128,Vout_ss_2_skew_15,0.004018
129,Bout_magn_1_max_15,0.004004
130,wout_gyro_3_kurt_15,0.003978
131,Bout_magn_2_max_15,0.003931
132,Vout_ss_4_skew_15,0.003761
133,Vout_ss_1_median_15,0.003750
134,Bout_magn_2,0.003720
135,Vout_ss_6_median_15,0.003703
136,Vout_ss_2_kurt_15,0.003696
137,mout_mtq_2_kurt_15,0.003668
138,Bout_magn_2_accel,0.003642
139,Bout_magn_3_accel,0.003621
140,Bout_magn_2_delta,0.003590
141,Vout_ss_3_max_15,0.003566
142,Vout_ss_6_min_15,0.003494
143,Vout_ss_3_min_15,0.003490
144,Vout_ss_2_median_15,0.003477
145,Vout_ss_5_kurt_15,0.003452
146,Vout_ss_5_median_15,0.003445
147,Vout_ss_3_kurt_15,0.003366
148,Vout_ss_2_min_15,0.003304
149,Vout_ss_3_skew_15,0.003283
150,Bout_magn_3_delta,0.003227
151,Vout_ss_5_delta,0.003166
152,Vout_ss_4_median_15,0.003039
153,mout_mtq_2_median_15,0.003027
154,mout_mtq_3_median_15,0.003000
155,Vout_ss_4_min_15,0.002945
156,mout_mtq_1_median_15,0.002922
157,mout_mtq_1_min_15,0.002874
158,Vout_ss_4_kurt_15,0.002863
159,mout_mtq_1_skew_15,0.002861
160,Bout_magn_1_delta,0.002776
161,Vout_ss_1_min_15,0.002738
162,Vout_ss_1_skew_15,0.002710
163,mout_mtq_1_delta,0.002650
164,Vout_ss_6_skew_15,0.002645
165,Vout_ss_5_min_15,0.002632
166,wout_gyro_2_accel,0.002607
167,wout_gyro_3_accel,0.002579
168,Vout_ss_5_skew_15,0.002573
169,Vout_ss_3_median_15,0.002515
170,Bout_magn_1_accel,0.002375
171,mout_mtq_2_skew_15,0.002351
172,wout_gyro_3_delta,0.002300
173,mout_mtq_2_min_15,0.002238
174,Vout_ss_6_delta,0.002227
175,wout_gyro_1_accel,0.002195
176,Vout_ss_4_delta,0.002179
177,Vout_ss_1_delta,0.002170
178,mout_mtq_3_min_15,0.002153
179,wout_gyro_2_delta,0.002118
180,mout_mtq_3_skew_15,0.002085
181,mout_mtq_3_delta,0.001906
182,Vout_ss_2_delta,0.001837
183,mout_mtq_1_kurt_15,0.001435
184,mout_mtq_2_delta,0.001386
185,Vout_ss_5_accel,0.001321
186,wout_gyro_1_delta,0.001289
187,Vout_ss_6_accel,0.001284
188,Vout_ss_4_accel,0.001170
189,Vout_ss_3_delta,0.001087
190,Vout_ss_1_accel,0.001057
191,Vout_ss_2_accel,0.000979
192,mout_mtq_2_accel,0.000881
