Rank,Feature,Importance
1,mout_mtq_3_min_10,0.060173
2,mout_mtq_2_var_10,0.031854
3,mout_mtq_3_var_10,0.029919
4,mout_mtq_1_var_10,0.026297
5,mout_mtq_3,0.024382
6,mout_mtq_1,0.022804
7,Vout_ss_3_delta,0.021728
8,Vout_ss_2_median_10,0.021358
9,Vout_ss_1_delta,0.021044
10,mout_mtq_2_delta,0.020717
11,mout_mtq_2,0.020362
12,Vout_ss_5_delta,0.019940
13,mout_mtq_3_delta,0.019759
14,Vout_ss_4_delta,0.017582
15,Vout_ss_3_min_10,0.016914
16,Vout_ss_6,0.016826
17,Vout_ss_5,0.016172
18,Vout_ss_1,0.015030
19,Vout_ss_4_mean_10,0.014505
20,Vout_ss_4,0.014123
21,Vout_ss_6_delta,0.013881
22,Bout_magn_3_delta,0.013399
23,Bout_magn_2_var_10,0.013396
24,Vout_ss_2_delta,0.013183
25,mout_mtq_1_delta,0.013053
26,Bout_magn_3_var_10,0.011888
27,Vout_ss_3,0.011729
28,Vout_ss_2_min_10,0.011646
29,Vout_ss_3_median_10,0.011504
30,Bout_magn_1_var_10,0.011481
31,Vout_ss_5_mean_10,0.011409
32,Vout_ss_3_var_10,0.011083
33,Bout_magn_1_delta,0.010333
34,Vout_ss_2,0.010270
35,Vout_ss_2_var_10,0.010221
36,Vout_ss_1_var_10,0.010176
37,Vout_ss_5_var_10,0.009976
38,Bout_magn_2_delta,0.009942
39,Vout_ss_6_min_10,0.009644
40,Vout_ss_6_var_10,0.008926
41,Vout_ss_4_var_10,0.008701
42,mout_mtq_2_min_10,0.008027
43,wout_gyro_1_delta,0.007727
44,wout_gyro_2_var_10,0.007547
45,Vout_ss_6_mean_10,0.007480
46,Vout_ss_2_max_10,0.007339
47,wout_gyro_3_var_10,0.007048
48,Vout_ss_5_min_10,0.006918
49,wout_gyro_1_var_10,0.006863
50,wout_gyro_3,0.006828
51,wout_gyro_2,0.006699
52,Bout_magn_1_min_10,0.006492
53,wout_gyro_2_delta,0.006478
54,Vout_ss_4_min_10,0.006321
55,wout_gyro_1,0.006212
56,mout_mtq_2_mean_10,0.006184
57,Vout_ss_1_max_10,0.006070
58,Vout_ss_1_min_10,0.006023
59,mout_mtq_1_mean_10,0.005818
60,Vout_ss_5_max_10,0.005792
61,mout_mtq_2_max_10,0.005650
62,wout_gyro_3_delta,0.005499
63,Bout_magn_2_min_10,0.005274
64,Bout_magn_1_max_10,0.005150
65,Vout_ss_4_median_10,0.005148
66,Vout_ss_4_max_10,0.005083
67,wout_gyro_3_mean_10,0.004904
68,Vout_ss_3_mean_10,0.004886
69,Bout_magn_3,0.004784
70,Bout_magn_2,0.004771
71,Bout_magn_1,0.004649
72,Bout_magn_2_median_10,0.004607
73,Bout_magn_2_max_10,0.004477
74,Bout_magn_2_mean_10,0.004431
75,wout_gyro_1_min_10,0.004327
76,Bout_magn_3_max_10,0.004261
77,mout_mtq_3_mean_10,0.004211
78,Bout_magn_3_min_10,0.004155
79,Vout_ss_1_median_10,0.004144
80,wout_gyro_2_min_10,0.004072
81,wout_gyro_3_max_10,0.004070
82,Vout_ss_6_max_10,0.004055
83,wout_gyro_1_mean_10,0.003991
84,mout_mtq_1_max_10,0.003949
85,wout_gyro_2_median_10,0.003930
86,Vout_ss_2_mean_10,0.003923
87,wout_gyro_1_max_10,0.003871
88,mout_mtq_2_median_10,0.003784
89,wout_gyro_2_max_10,0.003782
90,Vout_ss_5_median_10,0.003756
91,wout_gyro_1_median_10,0.003736
92,Bout_magn_3_median_10,0.003668
93,mout_mtq_1_median_10,0.003666
94,mout_mtq_3_max_10,0.003613
95,Bout_magn_1_mean_10,0.003572
96,wout_gyro_3_min_10,0.003529
97,Bout_magn_1_median_10,0.003525
98,Vout_ss_3_max_10,0.003446
99,Vout_ss_1_mean_10,0.003359
100,wout_gyro_2_mean_10,0.003316
101,wout_gyro_3_median_10,0.003315
102,mout_mtq_1_min_10,0.003226
103,Bout_magn_3_mean_10,0.003221
104,Vout_ss_6_median_10,0.003131
105,mout_mtq_3_median_10,0.002886
