Rank,Feature,Importance
1,Vout_ss_4,0.073204
2,Vout_ss_1,0.061252
3,mout_mtq_2,0.054637
4,Vout_ss_3,0.053265
5,Vout_ss_2,0.050701
6,Vout_ss_6,0.046084
7,Bout_magn_1_accel,0.042003
8,Vout_ss_5,0.040595
9,mout_mtq_1,0.040061
10,Bout_magn_3_accel,0.040047
11,wout_gyro_3,0.037036
12,Bout_magn_2_accel,0.036601
13,wout_gyro_1,0.032461
14,wout_gyro_2,0.030177
15,Bout_magn_2,0.024104
16,Bout_magn_3_delta,0.023632
17,mout_mtq_3_delta,0.023318
18,Bout_magn_1,0.022941
19,Bout_magn_2_delta,0.022639
20,Bout_magn_3,0.021427
21,mout_mtq_1_delta,0.020515
22,mout_mtq_2_delta,0.020112
23,Bout_magn_1_delta,0.019794
24,mout_mtq_3,0.018271
25,wout_gyro_2_accel,0.013269
26,wout_gyro_3_accel,0.013070
27,wout_gyro_1_accel,0.011053
28,Vout_ss_5_delta,0.009247
29,Vout_ss_1_delta,0.008931
30,Vout_ss_4_delta,0.008804
31,Vout_ss_6_delta,0.008460
32,Vout_ss_5_accel,0.007350
33,Vout_ss_3_delta,0.007106
34,Vout_ss_4_accel,0.007093
35,wout_gyro_3_delta,0.006591
36,Vout_ss_2_delta,0.006396
37,Vout_ss_1_accel,0.005957
38,Vout_ss_2_accel,0.005909
39,wout_gyro_2_delta,0.005507
40,mout_mtq_3_accel,0.005311
41,wout_gyro_1_delta,0.004824
42,mout_mtq_1_accel,0.004502
43,Vout_ss_3_accel,0.003694
44,Vout_ss_6_accel,0.001972
45,mout_mtq_2_accel,0.000074
