Rank,Feature,Importance
1,mout_mtq_3_dev_10,0.091666
2,mout_mtq_2_dev_10,0.089412
3,mout_mtq_1_dev_10,0.085481
4,Vout_ss_5_var_10,0.043937
5,Vout_ss_6_std_10,0.039341
6,Vout_ss_1_std_10,0.038903
7,Vout_ss_2_var_10,0.036425
8,Bout_magn_1_std_10,0.035839
9,Vout_ss_3_std_10,0.034097
10,Vout_ss_4_var_10,0.031407
11,Bout_magn_3_kurt_10,0.029963
12,Bout_magn_2_kurt_10,0.027160
13,Vout_ss_3,0.026461
14,Bout_magn_2_std_10,0.018708
15,Vout_ss_5,0.018366
16,Vout_ss_2,0.017990
17,mout_mtq_3,0.017541
18,Vout_ss_1_dev_10,0.017006
19,Bout_magn_3_std_10,0.016471
20,Vout_ss_6,0.014865
21,Vout_ss_5_dev_10,0.014120
22,Vout_ss_4,0.013943
23,Vout_ss_6_min_10,0.013728
24,Vout_ss_2_dev_10,0.013613
25,Vout_ss_5_min_10,0.012486
26,Vout_ss_3_min_10,0.011453
27,Vout_ss_2_min_10,0.011153
28,Vout_ss_4_min_10,0.010680
29,Vout_ss_1,0.010405
30,mout_mtq_2,0.009894
31,Vout_ss_4_dev_10,0.009277
32,mout_mtq_1,0.008429
33,Bout_magn_1_kurt_10,0.007854
34,Bout_magn_1_var_10,0.005837
35,Vout_ss_6_dev_10,0.004776
36,Bout_magn_2_min_10,0.004605
37,mout_mtq_2_max_10,0.003871
38,Bout_magn_1_min_10,0.003719
39,Vout_ss_2_max_10,0.003676
40,Vout_ss_1_min_10,0.003333
41,Vout_ss_2_skew_10,0.003180
42,Vout_ss_3_max_10,0.003142
43,Bout_magn_3_range_10,0.003110
44,Vout_ss_3_skew_10,0.003069
45,Vout_ss_5_mean_10,0.002792
46,Vout_ss_6_skew_10,0.002792
47,Bout_magn_2_dev_10,0.002750
48,Vout_ss_4_range_10,0.002682
49,Vout_ss_5_max_10,0.002667
50,mout_mtq_1_mean_10,0.002633
51,Bout_magn_2_range_10,0.002566
52,mout_mtq_1_max_10,0.002419
53,mout_mtq_2_min_10,0.002406
54,Vout_ss_2_mean_10,0.002352
55,Bout_magn_2_var_10,0.002293
56,Vout_ss_4_std_10,0.002223
57,Bout_magn_3_dev_10,0.002152
58,Bout_magn_3_max_10,0.001819
59,Vout_ss_2_delta,0.001766
60,Vout_ss_4_max_10,0.001761
61,Bout_magn_3,0.001742
62,Bout_magn_2_max_10,0.001669
63,Vout_ss_5_skew_10,0.001607
64,wout_gyro_2_max_10,0.001586
65,Vout_ss_1_skew_10,0.001581
66,wout_gyro_3_std_10,0.001556
67,Vout_ss_3_dev_10,0.001519
68,Vout_ss_6_max_10,0.001494
69,wout_gyro_1_dev_10,0.001383
70,Bout_magn_2_skew_10,0.001347
71,wout_gyro_3,0.001347
72,mout_mtq_1_median_10,0.001319
73,wout_gyro_2_min_10,0.001233
74,wout_gyro_2_mean_10,0.001213
75,wout_gyro_1_min_10,0.001211
76,Bout_magn_1_range_10,0.001181
77,Bout_magn_3_min_10,0.001031
78,Bout_magn_2_median_10,0.001022
79,Vout_ss_4_delta,0.001013
80,wout_gyro_3_delta,0.000934
81,Bout_magn_1_max_10,0.000899
82,Bout_magn_2,0.000862
83,Vout_ss_1_range_10,0.000846
84,wout_gyro_1_std_10,0.000810
85,mout_mtq_2_std_10,0.000809
86,Vout_ss_1_max_10,0.000761
87,Bout_magn_3_mean_10,0.000729
88,wout_gyro_2_dev_10,0.000708
89,Bout_magn_1_mean_10,0.000694
90,Vout_ss_5_range_10,0.000678
91,Vout_ss_1_kurt_10,0.000669
92,Bout_magn_1,0.000654
93,wout_gyro_3_min_10,0.000640
94,mout_mtq_1_range_10,0.000639
95,wout_gyro_2,0.000631
96,mout_mtq_3_range_10,0.000612
97,Bout_magn_2_mean_10,0.000603
98,Vout_ss_1_delta,0.000580
99,wout_gyro_1_range_10,0.000579
100,Vout_ss_6_median_10,0.000578
101,Bout_magn_1_median_10,0.000563
