Rank,Feature,Importance
1,mout_mtq_1_var_20,0.078771
2,mout_mtq_2_delta,0.078108
3,mout_mtq_3_var_20,0.077813
4,mout_mtq_3,0.062280
5,mout_mtq_1,0.057178
6,mout_mtq_2,0.044648
7,mout_mtq_2_var_20,0.039553
8,wout_gyro_2_var_20,0.037006
9,wout_gyro_3_var_20,0.034789
10,Bout_magn_1_var_20,0.034581
11,Bout_magn_2_var_20,0.033119
12,Bout_magn_3_var_20,0.032049
13,Vout_ss_2_delta,0.028164
14,Vout_ss_1_delta,0.028133
15,Vout_ss_6_delta,0.027962
16,Vout_ss_5_delta,0.027654
17,Vout_ss_4_delta,0.027283
18,Vout_ss_3_delta,0.027125
19,wout_gyro_2,0.018834
20,Bout_magn_1,0.016172
21,Bout_magn_2,0.015015
22,wout_gyro_3,0.014906
23,Bout_magn_3,0.010739
24,mout_mtq_3_mean_20,0.009870
25,mout_mtq_2_median_20,0.007588
26,Vout_ss_2_var_20,0.006863
27,wout_gyro_1_var_20,0.006747
28,wout_gyro_1_min_20,0.005315
29,wout_gyro_1,0.004866
30,wout_gyro_3_min_20,0.004537
31,Vout_ss_2_max_20,0.004308
32,mout_mtq_1_max_20,0.004167
33,Vout_ss_1,0.004076
34,mout_mtq_2_mean_20,0.003643
35,Vout_ss_3_var_20,0.003569
36,Bout_magn_3_delta,0.003404
37,Vout_ss_5,0.003385
38,Bout_magn_3_max_20,0.003211
39,Vout_ss_5_min_20,0.003171
40,Bout_magn_1_median_20,0.002876
41,mout_mtq_3_max_20,0.002831
42,wout_gyro_2_max_20,0.002417
43,Vout_ss_5_max_20,0.002377
44,Vout_ss_1_min_20,0.002279
45,Bout_magn_2_mean_20,0.002239
46,wout_gyro_1_max_20,0.002120
47,wout_gyro_2_min_20,0.002062
48,wout_gyro_1_mean_20,0.002030
49,Bout_magn_2_median_20,0.002014
50,Vout_ss_4_min_20,0.001946
51,Bout_magn_1_min_20,0.001939
52,mout_mtq_2_max_20,0.001891
53,Bout_magn_3_min_20,0.001875
54,Vout_ss_4_median_20,0.001868
55,Vout_ss_6_min_20,0.001845
56,Bout_magn_2_max_20,0.001793
57,Vout_ss_2_mean_20,0.001725
58,Bout_magn_2_delta,0.001716
59,Vout_ss_1_var_20,0.001697
60,Vout_ss_4_var_20,0.001689
61,wout_gyro_3_median_20,0.001677
62,wout_gyro_2_mean_20,0.001589
63,Vout_ss_6_var_20,0.001539
64,Bout_magn_3_median_20,0.001480
65,Vout_ss_3_max_20,0.001468
66,mout_mtq_1_mean_20,0.001439
67,Bout_magn_1_mean_20,0.001361
68,wout_gyro_1_median_20,0.001299
69,Vout_ss_1_max_20,0.001286
70,Vout_ss_5_var_20,0.001243
71,Bout_magn_2_min_20,0.001227
72,Vout_ss_3,0.001220
73,Bout_magn_3_mean_20,0.001120
74,mout_mtq_3_median_20,0.001101
75,wout_gyro_3_mean_20,0.000909
76,wout_gyro_3_max_20,0.000874
77,Vout_ss_1_median_20,0.000839
78,Vout_ss_6,0.000835
79,Vout_ss_4_mean_20,0.000803
80,Vout_ss_4_max_20,0.000800
81,wout_gyro_1_delta,0.000643
82,Vout_ss_3_median_20,0.000606
83,Vout_ss_2,0.000436
84,mout_mtq_2_min_20,0.000371
