Rank,Feature,Importance
1,mout_mtq_2_delta,0.124719
2,mout_mtq_1_delta,0.119503
3,mout_mtq_3_delta,0.104702
4,Vout_ss_6,0.047977
5,Vout_ss_6_delta,0.046675
6,Vout_ss_1_delta,0.045821
7,Vout_ss_5_delta,0.045387
8,mout_mtq_3,0.044653
9,Vout_ss_2_delta,0.042947
10,Vout_ss_3_delta,0.042169
11,Vout_ss_4_delta,0.040036
12,mout_mtq_2,0.039947
13,Vout_ss_3,0.037771
14,Vout_ss_5,0.036579
15,mout_mtq_1,0.035395
16,Vout_ss_2,0.031939
17,Vout_ss_1,0.024690
18,Bout_magn_1_delta,0.022186
19,Vout_ss_4,0.017117
20,Bout_magn_2_delta,0.016111
21,Bout_magn_3_delta,0.013195
22,Bout_magn_3,0.004111
23,Bout_magn_2,0.002855
24,wout_gyro_1,0.002732
25,wout_gyro_2,0.002730
26,Bout_magn_1,0.002560
27,wout_gyro_3,0.002147
28,wout_gyro_3_delta,0.002018
29,wout_gyro_1_delta,0.000750
30,wout_gyro_2_delta,0.000576
