Rank,Feature,Importance
1,mout_mtq_2,0.029022
2,mout_mtq_1,0.027999
3,mout_mtq_3,0.023415
4,Vout_ss_1_var_20,0.021982
5,wout_gyro_1_var_20,0.020853
6,Vout_ss_6_var_20,0.020390
7,Vout_ss_5_var_20,0.019915
8,out_gps_1_var_20,0.019356
9,Vout_ss_6,0.017836
10,Vout_ss_2_var_20,0.017835
11,Vout_ss_4_var_20,0.017544
12,Vout_ss_3_var_20,0.017177
13,out_gps_2_var_20,0.016896
14,Vout_ss_5,0.016191
15,Vout_ss_4,0.014946
16,Vout_ss_1,0.014808
17,Bout_magn_2_var_20,0.014591
18,wout_gyro_3_var_20,0.014126
19,Vout_ss_6_max_20,0.014082
20,Vout_ss_3,0.013297
21,wout_gyro_2_var_20,0.013254
22,Vout_ss_6_delta,0.013048
23,out_gps_3_var_20,0.012992
24,Vout_ss_2,0.012669
25,Bout_magn_3_var_20,0.012539
26,out_gps_2_delta,0.012459
27,Vout_ss_3_delta,0.011827
28,Vout_ss_2_delta,0.011655
29,Vout_ss_4_delta,0.011367
30,out_gps_3_delta,0.010427
31,Vout_ss_1_delta,0.010374
32,wout_gyro_2_min_20,0.009943
33,Bout_magn_1_var_20,0.009745
34,Bout_magn_2_delta,0.009731
35,out_gps_1_delta,0.009494
36,Vout_ss_5_delta,0.009394
37,Bout_magn_1_delta,0.009225
38,mout_mtq_1_delta,0.008473
39,wout_gyro_1,0.008288
40,mout_mtq_2_var_20,0.008167
41,wout_gyro_2,0.008108
42,mout_mtq_2_min_20,0.007694
43,Bout_magn_1_min_20,0.007630
44,wout_gyro_3,0.007481
45,Vout_ss_6_min_20,0.007127
46,Bout_magn_3_delta,0.007098
47,mout_mtq_3_delta,0.007056
48,wout_gyro_3_delta,0.006913
49,mout_mtq_2_delta,0.006891
50,wout_gyro_1_delta,0.006831
51,wout_gyro_1_max_20,0.006650
52,out_gps_2,0.006447
53,Vout_ss_2_max_20,0.006299
54,Vout_ss_2_median_20,0.006262
55,Bout_magn_1,0.006139
56,Bout_magn_3_max_20,0.006113
57,mout_mtq_3_var_20,0.006101
58,wout_gyro_2_delta,0.005956
59,Vout_ss_3_min_20,0.005954
60,out_gps_1_max_20,0.005913
61,out_gps_3_min_20,0.005760
62,out_gps_2_min_20,0.005745
63,out_gps_1_mean_20,0.005579
64,Bout_magn_2,0.005470
65,out_gps_1,0.005460
66,Vout_ss_1_max_20,0.005366
67,Bout_magn_2_min_20,0.005281
68,Vout_ss_1_median_20,0.005245
69,out_gps_3_mean_20,0.005108
70,mout_mtq_1_var_20,0.005045
71,wout_gyro_2_median_20,0.005000
72,mout_mtq_3_min_20,0.004995
73,mout_mtq_1_min_20,0.004993
74,out_gps_3,0.004950
75,wout_gyro_3_mean_20,0.004894
76,Vout_ss_1_mean_20,0.004881
77,out_gps_3_median_20,0.004866
78,out_gps_3_max_20,0.004845
79,wout_gyro_2_max_20,0.004667
80,Vout_ss_4_median_20,0.004663
81,Vout_ss_3_max_20,0.004621
82,out_gps_2_median_20,0.004511
83,mout_mtq_1_median_20,0.004491
84,Bout_magn_1_median_20,0.004482
85,Bout_magn_3,0.004420
86,Vout_ss_1_min_20,0.004380
87,mout_mtq_1_max_20,0.004260
88,point_error_1_mean_20,0.004238
89,Vout_ss_5_max_20,0.004231
90,Vout_ss_5_mean_20,0.004208
91,Bout_magn_2_median_20,0.004131
92,Vout_ss_5_median_20,0.003963
93,mout_mtq_3_median_20,0.003944
94,Bout_magn_2_mean_20,0.003912
95,Vout_ss_3_median_20,0.003874
96,out_gps_2_max_20,0.003807
97,mout_mtq_3_max_20,0.003755
98,Vout_ss_4_max_20,0.003748
99,point_error_1_min_20,0.003731
100,mout_mtq_2_max_20,0.003660
101,point_error_1,0.003657
102,Bout_magn_2_max_20,0.003622
103,Bout_magn_3_median_20,0.003601
104,Vout_ss_4_mean_20,0.003594
105,point_error_1_max_20,0.003587
106,point_error_1_median_20,0.003522
107,mout_mtq_3_mean_20,0.003511
108,Vout_ss_5_min_20,0.003508
109,wout_gyro_3_max_20,0.003466
110,Vout_ss_2_min_20,0.003406
111,out_gps_1_min_20,0.003404
112,point_error_1_var_20,0.003325
113,Vout_ss_4_min_20,0.003184
114,Vout_ss_3_mean_20,0.003157
115,Vout_ss_6_mean_20,0.003124
116,out_gps_2_mean_20,0.003105
117,wout_gyro_3_min_20,0.003092
118,out_gps_1_median_20,0.003016
119,mout_mtq_1_mean_20,0.002896
120,Vout_ss_2_mean_20,0.002868
121,wout_gyro_1_median_20,0.002739
122,point_error_1_delta,0.002713
123,mout_mtq_2_median_20,0.002634
124,wout_gyro_3_median_20,0.002556
125,mout_mtq_2_mean_20,0.002522
126,Bout_magn_1_mean_20,0.002516
127,Bout_magn_3_mean_20,0.002453
128,Bout_magn_1_max_20,0.002102
129,Vout_ss_6_median_20,0.001937
130,wout_gyro_1_min_20,0.001494
131,wout_gyro_1_mean_20,0.001323
132,wout_gyro_2_mean_20,0.001191
