Rank,Feature,Importance
1,mout_mtq_2,0.060796
2,out_gps_2_delta,0.051682
3,mout_mtq_2_delta,0.049391
4,mout_mtq_3_delta,0.048824
5,mout_mtq_1,0.046305
6,out_gps_1_delta,0.045887
7,Vout_ss_4_delta,0.044279
8,Vout_ss_4,0.040088
9,Vout_ss_5,0.040016
10,Vout_ss_6,0.037677
11,out_gps_3_delta,0.037607
12,Vout_ss_1_delta,0.036905
13,mout_mtq_3,0.036892
14,Vout_ss_6_delta,0.036399
15,Vout_ss_1,0.035643
16,Vout_ss_2_delta,0.035367
17,Vout_ss_5_delta,0.034662
18,Vout_ss_3_delta,0.031036
19,mout_mtq_1_delta,0.030554
20,Bout_magn_2_delta,0.023159
21,Bout_magn_3_delta,0.021193
22,Vout_ss_2,0.019040
23,Bout_magn_1_delta,0.018981
24,wout_gyro_2_delta,0.017472
25,wout_gyro_3_delta,0.016567
26,wout_gyro_1_delta,0.016500
27,Vout_ss_3,0.016326
28,out_gps_1,0.014119
29,out_gps_2,0.009121
30,wout_gyro_3,0.008196
31,out_gps_3,0.005989
32,point_error_1,0.005961
33,point_error_1_delta,0.004922
34,wout_gyro_2,0.004813
35,Bout_magn_1,0.004557
36,wout_gyro_1,0.004444
37,Bout_magn_2,0.004359
38,Bout_magn_3,0.004270
