Rank,Feature,Importance
1,Bout_magn_1_std_5,0.017996
2,Bout_magn_3_std_5,0.017196
3,Bout_magn_2_var_5,0.016311
4,Bout_magn_2_std_5,0.015610
5,Bout_magn_3_range_5,0.014668
6,Bout_magn_1_var_5,0.014543
7,Bout_magn_3_var_5,0.014530
8,Bout_magn_1_range_5,0.013148
9,mout_mtq_2_dev_5,0.012197
10,Bout_magn_2_range_5,0.012100
11,mout_mtq_3,0.011494
12,mout_mtq_1,0.011436
13,mout_mtq_3_dev_5,0.010496
14,Vout_ss_3_std_5,0.009484
15,mout_mtq_2,0.009258
16,mout_mtq_1_dev_5,0.009213
17,Vout_ss_3_var_5,0.009133
18,mout_mtq_1_mean_5,0.008898
19,Vout_ss_1_range_5,0.008607
20,Vout_ss_5_dev_5,0.008398
21,Vout_ss_2_dev_5,0.008200
22,mout_mtq_3_delta,0.008106
23,Vout_ss_6_dev_5,0.007956
24,mout_mtq_3_median_5,0.007951
25,Vout_ss_2_var_5,0.007934
26,mout_mtq_1_delta,0.007856
27,mout_mtq_3_mean_5,0.007760
28,mout_mtq_1_min_5,0.007715
29,Vout_ss_1_var_5,0.007687
30,Vout_ss_2_std_5,0.007469
31,Vout_ss_5_var_5,0.007422
32,mout_mtq_3_max_5,0.007343
33,mout_mtq_1_median_5,0.007306
34,Vout_ss_4_var_5,0.007161
35,wout_gyro_3_mean_5,0.007064
36,Vout_ss_1_std_5,0.007044
37,Vout_ss_4_std_5,0.007037
38,mout_mtq_2_min_5,0.007024
39,Vout_ss_3_dev_5,0.006975
40,Vout_ss_2,0.006970
41,mout_mtq_2_median_5,0.006958
42,Vout_ss_3,0.006880
43,Vout_ss_4_range_5,0.006878
44,Vout_ss_6_std_5,0.006837
45,wout_gyro_3_max_5,0.006831
46,Vout_ss_5_range_5,0.006799
47,Vout_ss_4_dev_5,0.006699
48,wout_gyro_2_median_5,0.006673
49,Vout_ss_6,0.006473
50,Vout_ss_5_std_5,0.006468
51,wout_gyro_3_median_5,0.006436
52,Vout_ss_3_min_5,0.006409
53,mout_mtq_2_range_5,0.006344
54,Vout_ss_4,0.006299
55,wout_gyro_1,0.006265
56,wout_gyro_1_max_5,0.006212
57,Vout_ss_2_range_5,0.006158
58,wout_gyro_3_min_5,0.006135
59,wout_gyro_1_min_5,0.006056
