Rank,Feature,Importance
1,Bout_magn_3_accel,0.089489
2,Bout_magn_1_accel,0.055581
3,Bout_magn_2_delta,0.054197
4,mout_mtq_1,0.044396
5,mout_mtq_2_accel,0.039516
6,Bout_magn_3_delta,0.036314
7,Vout_ss_3,0.034941
8,Vout_ss_2,0.034850
9,Vout_ss_1,0.034028
10,mout_mtq_2,0.033451
11,Vout_ss_5,0.031885
12,mout_mtq_3_delta,0.029801
13,Vout_ss_6,0.027360
14,mout_mtq_3,0.026930
15,mout_mtq_1_delta,0.026892
16,Bout_magn_2_accel,0.026307
17,Vout_ss_4,0.024064
18,Vout_ss_4_accel,0.021533
19,wout_gyro_3,0.019397
20,wout_gyro_1,0.019135
21,wout_gyro_2,0.018292
22,wout_gyro_2_accel,0.017863
23,Bout_magn_1_delta,0.017401
24,Bout_magn_3,0.016867
25,Bout_magn_1,0.016213
26,Bout_magn_2,0.015041
27,mout_mtq_3_accel,0.013255
28,Vout_ss_5_delta,0.013213
29,Vout_ss_2_delta,0.011017
30,Vout_ss_6_delta,0.010740
31,wout_gyro_3_delta,0.010618
32,Vout_ss_1_delta,0.010611
33,Vout_ss_4_delta,0.010568
34,wout_gyro_3_accel,0.010397
35,wout_gyro_1_delta,0.010381
36,mout_mtq_2_delta,0.009989
37,Vout_ss_3_delta,0.009684
38,wout_gyro_2_delta,0.009090
39,Vout_ss_5_accel,0.009029
40,Vout_ss_2_accel,0.008924
41,Vout_ss_1_accel,0.008744
42,Vout_ss_6_accel,0.008547
43,Vout_ss_3_accel,0.007872
44,wout_gyro_1_accel,0.007801
45,mout_mtq_1_accel,0.007776
