Rank,Feature,Importance
1,Vout_ss_6_median_15,0.032243
2,mout_mtq_2_dev_15,0.027017
3,mout_mtq_3_dev_15,0.025485
4,mout_mtq_1_dev_15,0.025053
5,Vout_ss_2_dev_15,0.022750
6,Vout_ss_1,0.019047
7,Vout_ss_3_skew_15,0.018666
8,Bout_magn_1_mean_15,0.016655
9,Vout_ss_4,0.016418
10,mout_mtq_2_median_15,0.016348
11,Bout_magn_3_accel,0.016253
12,Vout_ss_2_median_15,0.016252
13,Bout_magn_2_accel,0.014518
14,Bout_magn_1_range_15,0.014078
15,mout_mtq_3_min_15,0.013192
16,mout_mtq_3,0.012874
17,mout_mtq_2_min_15,0.009494
18,mout_mtq_2,0.009375
19,mout_mtq_1,0.008151
20,mout_mtq_1_median_15,0.007956
21,Vout_ss_5_skew_15,0.007934
22,Vout_ss_4_skew_15,0.007242
23,Bout_magn_2_delta,0.007135
24,Bout_magn_1_var_15,0.007011
25,mout_mtq_1_max_15,0.006996
26,wout_gyro_3_range_15,0.006832
27,Bout_magn_3_delta,0.006562
28,Vout_ss_4_dev_15,0.006499
29,wout_gyro_2,0.006499
30,Vout_ss_4_delta,0.006252
31,Bout_magn_1_delta,0.006183
32,Vout_ss_1_dev_15,0.006171
33,Vout_ss_2_delta,0.006046
34,wout_gyro_2_var_15,0.005926
35,Bout_magn_1_accel,0.005893
36,Bout_magn_2_range_15,0.005891
37,Vout_ss_6_min_15,0.005840
38,Bout_magn_1_kurt_15,0.005823
39,Vout_ss_5_min_15,0.005782
40,Bout_magn_3_var_15,0.005763
41,Vout_ss_2_skew_15,0.005460
42,wout_gyro_1,0.005382
43,mout_mtq_1_var_15,0.005377
44,Vout_ss_6_delta,0.005036
45,mout_mtq_3_max_15,0.005028
46,Vout_ss_1_min_15,0.004953
47,Vout_ss_3_mean_15,0.004945
48,Vout_ss_1_delta,0.004939
49,Vout_ss_3_dev_15,0.004919
50,Bout_magn_3_kurt_15,0.004892
51,wout_gyro_1_var_15,0.004876
52,Vout_ss_1_skew_15,0.004835
53,Vout_ss_1_mean_15,0.004743
54,Vout_ss_3_max_15,0.004741
55,Vout_ss_6_var_15,0.004724
56,Vout_ss_2_kurt_15,0.004720
57,mout_mtq_3_mean_15,0.004686
58,Bout_magn_2_var_15,0.004668
59,Vout_ss_5_dev_15,0.004666
60,Vout_ss_6_dev_15,0.004643
61,mout_mtq_1_min_15,0.004630
62,Vout_ss_6_skew_15,0.004564
63,Bout_magn_2_kurt_15,0.004503
64,mout_mtq_1_mean_15,0.004437
65,Vout_ss_5,0.004409
66,Vout_ss_5_var_15,0.004406
67,Vout_ss_2_min_15,0.004404
68,Bout_magn_3_min_15,0.004391
69,Vout_ss_2_var_15,0.004370
70,wout_gyro_3_std_15,0.004367
71,Bout_magn_3,0.004348
72,Vout_ss_1_var_15,0.004339
73,wout_gyro_1_median_15,0.004315
74,wout_gyro_1_mean_15,0.004283
75,Bout_magn_2,0.004267
76,Vout_ss_3,0.004257
77,Bout_magn_2_mean_15,0.004253
78,Bout_magn_1_skew_15,0.004252
79,Vout_ss_2,0.004247
80,wout_gyro_1_std_15,0.004210
81,Bout_magn_3_mean_15,0.004199
82,Bout_magn_1_min_15,0.004184
83,Bout_magn_1,0.004182
84,wout_gyro_3_median_15,0.004167
85,Vout_ss_2_accel,0.004157
86,wout_gyro_2_std_15,0.004157
87,Vout_ss_6,0.004141
88,Vout_ss_4_kurt_15,0.004136
89,mout_mtq_3_range_15,0.004118
90,Bout_magn_1_dev_15,0.004074
91,mout_mtq_3_var_15,0.004064
92,wout_gyro_3,0.004050
93,mout_mtq_2_max_15,0.004035
94,Vout_ss_2_max_15,0.003969
95,Vout_ss_3_var_15,0.003968
96,mout_mtq_2_var_15,0.003961
97,Vout_ss_4_var_15,0.003936
98,wout_gyro_3_var_15,0.003921
99,wout_gyro_1_max_15,0.003914
100,Vout_ss_2_mean_15,0.003910
101,wout_gyro_1_min_15,0.003908
102,Vout_ss_5_max_15,0.003900
103,Vout_ss_1_accel,0.003899
104,Vout_ss_5_mean_15,0.003891
105,Vout_ss_4_range_15,0.003889
106,wout_gyro_2_min_15,0.003867
107,Vout_ss_5_median_15,0.003864
108,Bout_magn_2_min_15,0.003850
109,Bout_magn_3_skew_15,0.003842
110,wout_gyro_3_min_15,0.003824
111,Vout_ss_4_median_15,0.003817
112,Vout_ss_6_mean_15,0.003762
113,wout_gyro_3_max_15,0.003757
114,Vout_ss_3_min_15,0.003749
