Rank,Feature,Importance
1,Bout_magn_1_var_5,0.113695
2,Bout_magn_2_var_5,0.110419
3,Bout_magn_3_var_5,0.104792
4,mout_mtq_2_delta,0.073953
5,mout_mtq_3_var_5,0.070085
6,mout_mtq_1_var_5,0.069566
7,Vout_ss_3_var_5,0.058961
8,Vout_ss_2_var_5,0.052237
9,Vout_ss_1_var_5,0.051430
10,Vout_ss_6_var_5,0.051173
11,Vout_ss_5_var_5,0.050782
12,Vout_ss_4_var_5,0.044810
13,mout_mtq_1,0.018347
14,mout_mtq_3,0.016512
15,Vout_ss_4,0.010840
16,Vout_ss_3_min_5,0.009493
17,Vout_ss_6,0.008804
18,Vout_ss_5,0.008266
19,Vout_ss_6_delta,0.007115
20,Vout_ss_1_delta,0.006447
21,Vout_ss_2_delta,0.006203
22,Vout_ss_6_min_5,0.005554
23,Vout_ss_3,0.005187
24,Vout_ss_2_min_5,0.004909
25,wout_gyro_3,0.004645
26,Bout_magn_3_min_5,0.004267
27,Vout_ss_1,0.003868
28,Vout_ss_4_min_5,0.003858
29,wout_gyro_2_mean_5,0.003697
30,wout_gyro_3_max_5,0.003482
31,Vout_ss_2,0.002937
32,Vout_ss_5_min_5,0.002863
33,Bout_magn_1_min_5,0.002289
34,Bout_magn_1_delta,0.002039
35,wout_gyro_2,0.001904
36,Bout_magn_2_max_5,0.001773
37,wout_gyro_1,0.001559
38,mout_mtq_2,0.000623
39,mout_mtq_3_mean_5,0.000614
