Rank,Feature,Importance
1,mout_mtq_2_delta,0.058570
2,mout_mtq_1_var_20,0.053549
3,mout_mtq_3_var_20,0.047887
4,mout_mtq_2_var_20,0.043338
5,mout_mtq_3_delta,0.037606
6,mout_mtq_1_delta,0.037553
7,mout_mtq_3,0.032557
8,mout_mtq_2,0.032242
9,mout_mtq_1,0.028922
10,Bout_magn_1_var_20,0.023452
11,Vout_ss_6,0.021288
12,wout_gyro_2_var_20,0.021042
13,Vout_ss_3,0.020150
14,wout_gyro_3_var_20,0.019147
15,Vout_ss_6_delta,0.018006
16,Vout_ss_4_delta,0.017326
17,Vout_ss_5_delta,0.017252
18,Vout_ss_5_var_20,0.017098
19,Vout_ss_1_delta,0.016435
20,Vout_ss_2,0.016316
21,Bout_magn_2_var_20,0.015492
22,Vout_ss_3_delta,0.015368
23,Bout_magn_3_var_20,0.014883
24,wout_gyro_1_var_20,0.013523
25,Vout_ss_2_delta,0.012547
26,Vout_ss_1_var_20,0.012006
27,Vout_ss_6_median_20,0.011725
28,Vout_ss_6_max_20,0.010744
29,Vout_ss_4,0.010258
30,Vout_ss_3_mean_20,0.010067
31,Vout_ss_2_var_20,0.009913
32,Vout_ss_6_mean_20,0.009505
33,Vout_ss_6_var_20,0.009444
34,Vout_ss_3_min_20,0.009297
35,Vout_ss_5_mean_20,0.009130
36,Vout_ss_4_var_20,0.008239
37,Vout_ss_5_min_20,0.008095
38,Vout_ss_5_max_20,0.008019
39,Vout_ss_3_var_20,0.007737
40,Vout_ss_2_max_20,0.007624
41,Vout_ss_1,0.007616
42,Vout_ss_5,0.007576
43,Vout_ss_4_mean_20,0.007454
44,mout_mtq_1_mean_20,0.007346
45,Vout_ss_2_mean_20,0.006678
46,Vout_ss_3_max_20,0.006629
47,Vout_ss_1_min_20,0.006546
48,mout_mtq_3_max_20,0.006121
49,Vout_ss_6_min_20,0.006094
50,mout_mtq_1_max_20,0.006037
51,Vout_ss_1_max_20,0.005977
52,Vout_ss_4_median_20,0.005886
53,Vout_ss_2_min_20,0.005709
54,mout_mtq_2_mean_20,0.005647
55,Vout_ss_3_median_20,0.005548
56,Vout_ss_1_mean_20,0.005470
57,mout_mtq_3_mean_20,0.005232
58,mout_mtq_2_max_20,0.004988
59,wout_gyro_2,0.003717
60,Vout_ss_2_median_20,0.003532
61,Vout_ss_4_min_20,0.003371
62,Vout_ss_1_median_20,0.003282
63,Vout_ss_5_median_20,0.003233
64,Bout_magn_2_delta,0.003210
65,Bout_magn_1_delta,0.003142
66,Vout_ss_4_max_20,0.002978
67,Bout_magn_1,0.002741
68,mout_mtq_2_min_20,0.002558
69,Bout_magn_2,0.002526
70,wout_gyro_1,0.002525
71,mout_mtq_1_median_20,0.002418
72,Bout_magn_3_mean_20,0.002277
73,Bout_magn_3,0.002269
74,Bout_magn_3_max_20,0.002208
75,wout_gyro_2_min_20,0.002114
76,wout_gyro_2_max_20,0.002077
77,Bout_magn_3_min_20,0.002074
78,Bout_magn_3_delta,0.002072
79,wout_gyro_2_mean_20,0.001968
80,Bout_magn_1_min_20,0.001954
81,wout_gyro_3_max_20,0.001909
82,wout_gyro_1_max_20,0.001900
83,Bout_magn_1_mean_20,0.001877
84,Bout_magn_1_median_20,0.001869
85,wout_gyro_1_mean_20,0.001867
86,Bout_magn_2_min_20,0.001796
87,wout_gyro_3_min_20,0.001770
88,wout_gyro_3,0.001723
89,wout_gyro_1_min_20,0.001686
90,mout_mtq_2_median_20,0.001659
91,Bout_magn_2_mean_20,0.001632
92,Bout_magn_2_max_20,0.001630
93,Bout_magn_3_median_20,0.001619
94,Bout_magn_2_median_20,0.001450
95,wout_gyro_3_median_20,0.001387
96,wout_gyro_3_mean_20,0.001375
97,Bout_magn_1_max_20,0.001360
98,mout_mtq_1_min_20,0.001326
99,wout_gyro_2_median_20,0.001313
100,mout_mtq_3_min_20,0.001030
101,wout_gyro_1_median_20,0.000988
102,wout_gyro_3_delta,0.000825
103,wout_gyro_2_delta,0.000732
104,mout_mtq_3_median_20,0.000655
105,wout_gyro_1_delta,0.000475
