Rank,Feature,Importance
1,mout_mtq_3_dev_15,0.048349
2,mout_mtq_2_dev_15,0.046745
3,mout_mtq_1_dev_15,0.045938
4,Vout_ss_5_std_15,0.021971
5,Vout_ss_6_dev_15,0.021616
6,Bout_magn_1_var_15,0.021425
7,Vout_ss_3_std_15,0.020451
8,Vout_ss_4_var_15,0.019966
9,Vout_ss_2_var_15,0.019370
10,Vout_ss_1_std_15,0.019225
11,wout_gyro_3_std_15,0.016837
12,Bout_magn_3_var_15,0.016384
13,Bout_magn_1_skew_15,0.014646
14,Bout_magn_2_skew_15,0.014228
15,Vout_ss_6_min_15,0.014107
16,Bout_magn_3_skew_15,0.013834
17,Bout_magn_2_std_15,0.013784
18,Vout_ss_4,0.013656
19,Vout_ss_3,0.012996
20,Vout_ss_2,0.012068
21,Vout_ss_1,0.011694
22,Vout_ss_1_min_15,0.011684
23,wout_gyro_2_range_15,0.011664
24,Vout_ss_5,0.011467
25,Bout_magn_3_accel,0.010992
26,Vout_ss_5_min_15,0.010859
27,Vout_ss_2_min_15,0.010327
28,Vout_ss_3_min_15,0.010248
29,Vout_ss_4_min_15,0.010123
30,Bout_magn_2_accel,0.010123
31,wout_gyro_1_var_15,0.010008
32,wout_gyro_1_std_15,0.009977
33,Bout_magn_2_dev_15,0.009727
34,Bout_magn_3_std_15,0.009153
35,Bout_magn_1_dev_15,0.009075
36,Bout_magn_3_dev_15,0.008761
37,wout_gyro_2_skew_15,0.008100
38,Bout_magn_2_var_15,0.008062
39,wout_gyro_3_skew_15,0.008056
40,mout_mtq_2_min_15,0.007971
41,wout_gyro_3,0.007922
42,Vout_ss_4_skew_15,0.007782
43,mout_mtq_1_min_15,0.007754
44,wout_gyro_1_skew_15,0.007609
45,Vout_ss_6_skew_15,0.007598
46,Vout_ss_1_skew_15,0.007426
47,wout_gyro_1_accel,0.007419
48,wout_gyro_3_accel,0.007234
49,mout_mtq_3_min_15,0.006953
50,wout_gyro_2,0.006823
51,wout_gyro_2_accel,0.006551
52,Bout_magn_2_delta,0.006219
53,Bout_magn_1,0.006190
54,Vout_ss_5_skew_15,0.006145
