Rank,Feature,Importance
1,mout_mtq_1_var_15,0.062749
2,mout_mtq_3_var_15,0.056792
3,mout_mtq_2_delta,0.053514
4,mout_mtq_2_var_15,0.046855
5,mout_mtq_3_delta,0.038773
6,mout_mtq_1_delta,0.036906
7,mout_mtq_2,0.033145
8,mout_mtq_3,0.027357
9,mout_mtq_1,0.026124
10,Bout_magn_2_var_15,0.021652
11,Vout_ss_3,0.020172
12,Bout_magn_1_var_15,0.020118
13,Vout_ss_3_var_15,0.018481
14,Vout_ss_4_delta,0.018338
15,wout_gyro_2_var_15,0.018252
16,Vout_ss_5_delta,0.018145
17,Vout_ss_6_delta,0.017902
18,Bout_magn_3_var_15,0.017268
19,Vout_ss_5_var_15,0.016541
20,Vout_ss_6_var_15,0.015192
21,Vout_ss_1_var_15,0.014755
22,Vout_ss_1_delta,0.013991
23,wout_gyro_3_var_15,0.013259
24,Vout_ss_6,0.012958
25,Vout_ss_2_delta,0.012458
26,Vout_ss_3_delta,0.012435
27,Vout_ss_6_max_15,0.012060
28,Vout_ss_3_mean_15,0.010505
29,Vout_ss_2,0.010397
30,Vout_ss_5,0.010164
31,Vout_ss_2_var_15,0.010082
32,Vout_ss_4_mean_15,0.010044
33,Vout_ss_1,0.009922
34,Vout_ss_5_mean_15,0.009246
35,Vout_ss_4,0.009246
36,Vout_ss_2_max_15,0.009008
37,Vout_ss_6_mean_15,0.008979
38,Vout_ss_6_median_15,0.008811
39,Vout_ss_5_max_15,0.008615
40,Vout_ss_5_min_15,0.008230
41,mout_mtq_2_max_15,0.007791
42,Vout_ss_3_min_15,0.007526
43,mout_mtq_1_max_15,0.007457
44,Vout_ss_6_min_15,0.007068
45,Vout_ss_3_max_15,0.007056
46,Vout_ss_1_mean_15,0.006922
47,mout_mtq_1_mean_15,0.006764
48,Vout_ss_4_var_15,0.006742
49,mout_mtq_3_max_15,0.006534
50,mout_mtq_2_mean_15,0.006516
51,Vout_ss_2_mean_15,0.006507
52,Vout_ss_5_median_15,0.006400
53,wout_gyro_1_var_15,0.006152
54,Vout_ss_2_min_15,0.005782
55,Vout_ss_3_median_15,0.005559
56,Vout_ss_4_median_15,0.005416
57,mout_mtq_3_mean_15,0.004889
58,Vout_ss_1_max_15,0.004689
59,Vout_ss_4_max_15,0.004084
60,Vout_ss_1_min_15,0.003980
61,Vout_ss_4_min_15,0.003192
62,Vout_ss_1_median_15,0.003056
63,Bout_magn_1,0.002997
64,Bout_magn_2,0.002959
65,Bout_magn_1_delta,0.002946
66,Bout_magn_3_delta,0.002677
67,wout_gyro_3,0.002474
68,mout_mtq_2_min_15,0.002246
69,mout_mtq_2_median_15,0.002243
70,wout_gyro_1_min_15,0.001995
71,mout_mtq_1_min_15,0.001977
72,wout_gyro_1_mean_15,0.001941
73,Bout_magn_2_delta,0.001931
74,Bout_magn_1_min_15,0.001846
75,wout_gyro_2,0.001843
76,Bout_magn_3,0.001719
77,wout_gyro_1,0.001699
78,Vout_ss_2_median_15,0.001698
79,Bout_magn_1_median_15,0.001691
80,mout_mtq_1_median_15,0.001671
81,Bout_magn_1_max_15,0.001649
82,wout_gyro_2_max_15,0.001617
83,Bout_magn_2_max_15,0.001580
84,Bout_magn_1_mean_15,0.001578
85,Bout_magn_2_mean_15,0.001577
86,Bout_magn_2_min_15,0.001545
87,Bout_magn_2_median_15,0.001516
88,Bout_magn_3_min_15,0.001496
89,wout_gyro_1_max_15,0.001460
90,wout_gyro_3_median_15,0.001449
91,wout_gyro_3_mean_15,0.001436
92,Bout_magn_3_mean_15,0.001416
93,Bout_magn_3_median_15,0.001402
94,wout_gyro_2_min_15,0.001373
95,wout_gyro_2_median_15,0.001295
96,mout_mtq_3_median_15,0.001290
97,Bout_magn_3_max_15,0.001220
98,wout_gyro_2_mean_15,0.001208
99,wout_gyro_3_max_15,0.001132
100,wout_gyro_1_median_15,0.001019
101,wout_gyro_3_min_15,0.001003
102,mout_mtq_3_min_15,0.000922
103,wout_gyro_3_delta,0.000770
104,wout_gyro_1_delta,0.000626
105,wout_gyro_2_delta,0.000349
