Rank,Feature,Importance
1,mout_mtq_2_min_10,0.075954
2,mout_mtq_1_min_10,0.051273
3,Bout_magn_2_delta,0.032623
4,mout_mtq_3_min_10,0.024661
5,mout_mtq_3,0.023611
6,Bout_magn_3_accel,0.021348
7,mout_mtq_2_median_10,0.021220
8,mout_mtq_3_median_10,0.018974
9,mout_mtq_3_dev_10,0.017881
10,mout_mtq_2_dev_10,0.015264
11,mout_mtq_1_dev_10,0.015105
12,Bout_magn_1_range_10,0.013802
13,Bout_magn_3_range_10,0.010330
14,Vout_ss_2_min_10,0.009746
15,mout_mtq_1_max_10,0.009628
16,Bout_magn_1_min_10,0.009501
17,Bout_magn_2_range_10,0.009385
18,Vout_ss_5_skew_10,0.007937
19,Vout_ss_6_skew_10,0.007583
20,wout_gyro_1_range_10,0.007154
21,Vout_ss_4,0.006550
22,Bout_magn_1_mean_10,0.006315
23,Vout_ss_1_min_10,0.006296
24,Vout_ss_2_var_10,0.006281
25,Bout_magn_1_std_10,0.006244
26,mout_mtq_3_std_10,0.006052
27,Bout_magn_3_max_10,0.005805
28,Vout_ss_4_mean_10,0.005797
29,Bout_magn_1_accel,0.005732
30,wout_gyro_2_range_10,0.005707
31,Vout_ss_3_kurt_10,0.005524
32,Vout_ss_1_dev_10,0.005495
33,Vout_ss_2,0.005476
34,Bout_magn_2,0.005397
35,Vout_ss_6_mean_10,0.005257
36,Bout_magn_3_var_10,0.005198
37,wout_gyro_3,0.005141
38,Vout_ss_1_range_10,0.005111
39,Vout_ss_3_skew_10,0.005108
40,Vout_ss_6_var_10,0.005084
41,Vout_ss_3_min_10,0.005021
42,Bout_magn_2_var_10,0.005019
43,wout_gyro_2_std_10,0.004969
44,mout_mtq_2_mean_10,0.004944
45,wout_gyro_1,0.004926
46,Vout_ss_6_delta,0.004901
47,wout_gyro_3_std_10,0.004881
48,Bout_magn_3_mean_10,0.004865
49,Bout_magn_1_var_10,0.004824
50,Bout_magn_3_delta,0.004802
51,Vout_ss_5_dev_10,0.004791
52,Vout_ss_3,0.004790
53,Vout_ss_6_max_10,0.004774
54,Vout_ss_5_mean_10,0.004740
55,Bout_magn_3,0.004665
56,Vout_ss_3_dev_10,0.004599
57,wout_gyro_3_max_10,0.004576
58,Bout_magn_1_dev_10,0.004489
59,mout_mtq_3_max_10,0.004466
60,Vout_ss_5_var_10,0.004441
61,Vout_ss_6_min_10,0.004439
62,Bout_magn_1_max_10,0.004394
63,Bout_magn_2_accel,0.004379
64,mout_mtq_3_var_10,0.004377
65,Vout_ss_6_median_10,0.004247
66,Bout_magn_2_std_10,0.004246
67,wout_gyro_2_mean_10,0.004241
68,Vout_ss_3_range_10,0.004217
69,Vout_ss_1_var_10,0.004192
70,Vout_ss_4_skew_10,0.004184
71,Bout_magn_1_delta,0.004149
72,mout_mtq_3_mean_10,0.004149
73,Vout_ss_4_var_10,0.004145
74,Vout_ss_3_accel,0.004111
75,Vout_ss_5_range_10,0.004107
76,wout_gyro_2_median_10,0.004098
77,Bout_magn_3_min_10,0.004080
78,wout_gyro_3_var_10,0.004064
79,Bout_magn_3_median_10,0.004061
80,Vout_ss_2_mean_10,0.004054
81,Bout_magn_2_min_10,0.004004
82,Bout_magn_1_median_10,0.003985
83,Bout_magn_3_std_10,0.003966
84,Vout_ss_4_std_10,0.003909
85,Vout_ss_5_max_10,0.003849
86,wout_gyro_1_mean_10,0.003809
87,Vout_ss_1,0.003808
88,mout_mtq_1_std_10,0.003782
89,Vout_ss_2_max_10,0.003780
90,Bout_magn_2_median_10,0.003750
91,Vout_ss_5,0.003737
92,Vout_ss_6_dev_10,0.003727
93,mout_mtq_1_range_10,0.003724
94,Vout_ss_5_median_10,0.003721
95,mout_mtq_2,0.003715
96,mout_mtq_1,0.003697
97,wout_gyro_2_max_10,0.003690
98,wout_gyro_1_min_10,0.003689
99,Vout_ss_1_max_10,0.003657
100,Bout_magn_3_dev_10,0.003619
101,wout_gyro_2_dev_10,0.003611
102,wout_gyro_1_median_10,0.003579
103,wout_gyro_1_std_10,0.003563
104,Vout_ss_4_dev_10,0.003544
105,mout_mtq_2_var_10,0.003540
106,wout_gyro_3_min_10,0.003501
107,Bout_magn_1,0.003500
108,Vout_ss_3_mean_10,0.003491
109,wout_gyro_1_max_10,0.003483
110,wout_gyro_2,0.003479
111,Vout_ss_4_max_10,0.003477
112,Bout_magn_2_mean_10,0.003432
113,wout_gyro_3_mean_10,0.003422
114,Vout_ss_1_median_10,0.003363
115,wout_gyro_2_min_10,0.003352
116,Vout_ss_4_delta,0.003335
117,Vout_ss_6,0.003335
118,wout_gyro_2_var_10,0.003200
119,wout_gyro_1_var_10,0.003182
120,wout_gyro_1_dev_10,0.003181
121,Bout_magn_2_dev_10,0.003134
122,Bout_magn_2_max_10,0.003128
123,Vout_ss_5_min_10,0.003126
124,Vout_ss_4_range_10,0.003095
125,Vout_ss_1_mean_10,0.003092
126,Vout_ss_3_max_10,0.003038
127,Vout_ss_4_min_10,0.003029
128,Vout_ss_1_std_10,0.002990
129,wout_gyro_3_dev_10,0.002989
130,wout_gyro_3_median_10,0.002958
131,Vout_ss_2_range_10,0.002935
132,Bout_magn_1_skew_10,0.002897
133,Vout_ss_2_dev_10,0.002878
134,mout_mtq_1_median_10,0.002866
135,mout_mtq_2_kurt_10,0.002835
136,mout_mtq_2_std_10,0.002834
137,Vout_ss_3_median_10,0.002823
138,mout_mtq_1_mean_10,0.002808
139,Vout_ss_2_median_10,0.002779
140,mout_mtq_2_range_10,0.002747
141,Vout_ss_1_delta,0.002717
142,Vout_ss_3_var_10,0.002680
143,wout_gyro_3_kurt_10,0.002629
144,wout_gyro_1_accel,0.002605
145,Bout_magn_2_kurt_10,0.002598
146,Vout_ss_4_kurt_10,0.002588
147,wout_gyro_3_range_10,0.002586
148,Vout_ss_6_range_10,0.002561
149,Vout_ss_4_median_10,0.002521
150,Bout_magn_2_skew_10,0.002498
151,Bout_magn_1_kurt_10,0.002470
152,Vout_ss_2_std_10,0.002469
153,mout_mtq_2_max_10,0.002407
154,wout_gyro_3_skew_10,0.002340
155,Vout_ss_6_accel,0.002335
156,mout_mtq_1_var_10,0.002297
157,wout_gyro_3_accel,0.002232
158,wout_gyro_1_skew_10,0.002230
159,Bout_magn_3_skew_10,0.002227
160,Vout_ss_2_kurt_10,0.002185
161,wout_gyro_2_kurt_10,0.002171
162,wout_gyro_1_kurt_10,0.002157
163,wout_gyro_2_skew_10,0.002150
164,Bout_magn_3_kurt_10,0.002137
165,Vout_ss_6_std_10,0.002078
166,Vout_ss_5_kurt_10,0.002036
167,wout_gyro_3_delta,0.002002
168,mout_mtq_3_accel,0.001997
169,Vout_ss_4_accel,0.001986
170,Vout_ss_6_kurt_10,0.001953
171,Vout_ss_1_kurt_10,0.001855
172,Vout_ss_1_skew_10,0.001855
173,Vout_ss_3_std_10,0.001855
174,mout_mtq_3_range_10,0.001705
175,mout_mtq_1_kurt_10,0.001629
176,mout_mtq_3_kurt_10,0.001615
177,Vout_ss_2_skew_10,0.001602
178,mout_mtq_3_skew_10,0.001597
179,Vout_ss_1_accel,0.001506
180,wout_gyro_2_accel,0.001460
181,Vout_ss_5_std_10,0.001402
182,Vout_ss_2_accel,0.001320
183,mout_mtq_1_delta,0.001296
184,Vout_ss_5_accel,0.001290
185,mout_mtq_1_skew_10,0.001245
186,wout_gyro_2_delta,0.001067
187,Vout_ss_2_delta,0.001017
188,Vout_ss_3_delta,0.000949
189,mout_mtq_2_skew_10,0.000868
190,wout_gyro_1_delta,0.000856
191,mout_mtq_3_delta,0.000840
192,Vout_ss_5_delta,0.000793
193,mout_mtq_2_delta,0.000775
194,mout_mtq_1_accel,0.000350
195,mout_mtq_2_accel,0.000272
