Rank,Feature,Importance
1,mout_mtq_2_dev_20,0.036339
2,mout_mtq_1_dev_20,0.034890
3,mout_mtq_3_dev_20,0.032874
4,Vout_ss_5_min_20,0.030496
5,Bout_magn_2_delta,0.027329
6,Vout_ss_2_min_20,0.023227
7,Vout_ss_4_min_20,0.021309
8,Bout_magn_1_delta,0.019484
9,Vout_ss_3_std_20,0.019446
10,Bout_magn_3_accel,0.015778
11,Vout_ss_6_min_20,0.015123
12,Vout_ss_2_dev_20,0.014785
13,mout_mtq_2_min_20,0.014186
14,Vout_ss_1,0.013932
15,Vout_ss_5_kurt_20,0.013925
16,Bout_magn_3_delta,0.012496
17,mout_mtq_1_var_20,0.012199
18,mout_mtq_1_min_20,0.010765
19,Bout_magn_1_accel,0.009457
20,Vout_ss_4_kurt_20,0.009409
21,Vout_ss_6_skew_20,0.009323
22,Bout_magn_3,0.009316
23,Bout_magn_2,0.009007
24,Vout_ss_3_median_20,0.008882
25,Vout_ss_1_skew_20,0.008802
26,Vout_ss_3,0.008476
27,Vout_ss_2_mean_20,0.007850
28,mout_mtq_2_median_20,0.007481
29,Vout_ss_6_delta,0.007367
30,Bout_magn_2_std_20,0.007342
31,Bout_magn_1_var_20,0.007288
32,Bout_magn_2_accel,0.007196
33,wout_gyro_3,0.007128
34,wout_gyro_2_range_20,0.006992
35,Bout_magn_3_var_20,0.006738
36,Vout_ss_1_median_20,0.006130
37,Vout_ss_4,0.005897
38,Vout_ss_3_skew_20,0.005632
39,wout_gyro_1_range_20,0.005474
40,Vout_ss_6_accel,0.005449
41,Vout_ss_4_max_20,0.005240
42,Vout_ss_1_delta,0.005228
43,wout_gyro_2_delta,0.005200
44,Bout_magn_1_dev_20,0.005149
45,Vout_ss_4_delta,0.005084
46,wout_gyro_3_var_20,0.004813
47,mout_mtq_3_min_20,0.004759
48,mout_mtq_3_range_20,0.004712
49,Vout_ss_1_dev_20,0.004668
50,Vout_ss_4_accel,0.004650
51,Vout_ss_1_min_20,0.004554
52,mout_mtq_3_std_20,0.004541
53,mout_mtq_1_max_20,0.004503
54,mout_mtq_3_max_20,0.004462
55,Vout_ss_4_var_20,0.004391
56,Vout_ss_6_var_20,0.004275
57,Vout_ss_5_delta,0.004193
58,Vout_ss_3_min_20,0.004145
59,Bout_magn_3_dev_20,0.004137
60,Vout_ss_3_mean_20,0.004129
61,Vout_ss_1_var_20,0.004100
62,Vout_ss_5_dev_20,0.003976
63,wout_gyro_3_mean_20,0.003925
64,Bout_magn_2_skew_20,0.003902
65,mout_mtq_2_mean_20,0.003900
66,Vout_ss_5_skew_20,0.003885
67,Bout_magn_2_var_20,0.003867
68,wout_gyro_1_mean_20,0.003858
69,wout_gyro_1_max_20,0.003824
70,Vout_ss_4_skew_20,0.003818
71,mout_mtq_2_max_20,0.003799
72,Bout_magn_1_min_20,0.003791
73,wout_gyro_1,0.003721
74,Vout_ss_6_kurt_20,0.003716
75,wout_gyro_2_var_20,0.003680
76,Vout_ss_1_max_20,0.003673
77,Bout_magn_2_range_20,0.003664
78,wout_gyro_1_min_20,0.003654
79,wout_gyro_3_max_20,0.003630
80,Vout_ss_2_median_20,0.003555
81,Vout_ss_6_max_20,0.003532
82,Bout_magn_1_skew_20,0.003519
83,Vout_ss_5_mean_20,0.003515
84,Bout_magn_1_median_20,0.003475
85,mout_mtq_3,0.003470
86,Bout_magn_2_median_20,0.003454
87,Bout_magn_3_skew_20,0.003444
88,Vout_ss_3_kurt_20,0.003391
89,Bout_magn_1_kurt_20,0.003351
90,Vout_ss_4_dev_20,0.003336
91,wout_gyro_2_max_20,0.003309
92,Bout_magn_1_std_20,0.003289
93,wout_gyro_2_median_20,0.003275
94,Bout_magn_1_max_20,0.003271
95,Vout_ss_5_var_20,0.003271
96,Bout_magn_3_min_20,0.003248
97,wout_gyro_2_std_20,0.003242
98,Vout_ss_5_max_20,0.003203
99,Bout_magn_2_min_20,0.003186
100,Bout_magn_3_median_20,0.003178
101,Vout_ss_4_median_20,0.003164
102,wout_gyro_1_median_20,0.003157
103,Vout_ss_6_dev_20,0.003141
104,mout_mtq_1,0.003139
105,Bout_magn_1,0.003089
106,wout_gyro_2_mean_20,0.003063
107,Vout_ss_1_accel,0.003058
108,wout_gyro_1_std_20,0.003056
109,Vout_ss_6_mean_20,0.003020
110,wout_gyro_2_dev_20,0.002998
111,Vout_ss_5_accel,0.002993
112,wout_gyro_2,0.002984
113,wout_gyro_3_std_20,0.002981
114,Vout_ss_2_range_20,0.002980
115,wout_gyro_3_dev_20,0.002975
116,wout_gyro_1_dev_20,0.002946
117,Vout_ss_6,0.002944
118,mout_mtq_3_var_20,0.002942
119,Vout_ss_2_accel,0.002935
120,wout_gyro_1_accel,0.002926
121,Bout_magn_2_kurt_20,0.002905
122,Vout_ss_3_dev_20,0.002896
123,Bout_magn_3_kurt_20,0.002887
124,Vout_ss_3_var_20,0.002873
125,Bout_magn_3_std_20,0.002871
126,Vout_ss_5,0.002868
127,mout_mtq_2_std_20,0.002855
128,wout_gyro_1_skew_20,0.002835
129,Bout_magn_3_max_20,0.002828
130,Bout_magn_3_mean_20,0.002828
131,Bout_magn_1_mean_20,0.002825
132,Vout_ss_2_var_20,0.002811
133,Vout_ss_1_std_20,0.002809
134,wout_gyro_3_min_20,0.002794
135,Vout_ss_2_delta,0.002793
136,Vout_ss_2,0.002792
137,Bout_magn_2_mean_20,0.002778
138,Vout_ss_1_range_20,0.002737
139,Bout_magn_2_max_20,0.002736
140,Vout_ss_4_mean_20,0.002723
141,Vout_ss_3_range_20,0.002707
142,wout_gyro_2_skew_20,0.002703
143,mout_mtq_3_mean_20,0.002685
144,wout_gyro_3_range_20,0.002684
145,Vout_ss_3_max_20,0.002683
146,mout_mtq_1_std_20,0.002682
147,Vout_ss_2_max_20,0.002671
148,Vout_ss_6_range_20,0.002652
