Rank,Feature,Importance
1,Vout_ss_1,0.046196
2,Vout_ss_4,0.045652
3,Vout_ss_2,0.044972
4,Vout_ss_5,0.044434
5,mout_mtq_1,0.041108
6,Vout_ss_6,0.040953
7,Vout_ss_3,0.039933
8,mout_mtq_3,0.038726
9,wout_gyro_2,0.037424
10,mout_mtq_2,0.037140
11,wout_gyro_1,0.036069
12,wout_gyro_3,0.034992
13,Bout_magn_3,0.032096
14,Bout_magn_2,0.030702
15,Bout_magn_1,0.029520
16,Bout_magn_3_accel,0.022075
17,Bout_magn_2_accel,0.022069
18,Bout_magn_3_delta,0.021997
19,Bout_magn_1_delta,0.020741
20,Bout_magn_1_accel,0.019819
21,Bout_magn_2_delta,0.019080
22,Vout_ss_2_delta,0.017669
23,Vout_ss_6_delta,0.017081
24,Vout_ss_5_delta,0.015559
25,wout_gyro_3_delta,0.015447
26,Vout_ss_3_delta,0.015025
27,Vout_ss_1_delta,0.014838
28,wout_gyro_2_delta,0.014354
29,Vout_ss_4_delta,0.014003
30,mout_mtq_2_delta,0.013452
31,Vout_ss_6_accel,0.013345
32,mout_mtq_3_delta,0.013200
33,Vout_ss_3_accel,0.012578
34,Vout_ss_2_accel,0.012167
35,wout_gyro_3_accel,0.011686
36,wout_gyro_1_delta,0.011453
37,Vout_ss_4_accel,0.011092
38,Vout_ss_5_accel,0.010955
39,Vout_ss_1_accel,0.010817
40,wout_gyro_1_accel,0.010446
41,wout_gyro_2_accel,0.010250
42,mout_mtq_1_delta,0.009842
43,mout_mtq_2_accel,0.007542
44,mout_mtq_3_accel,0.006006
45,mout_mtq_1_accel,0.005495
